iter	Logloss
0	0.284652394
1	0.1192480637
2	0.07123632215
3	0.04747850896
4	0.03560619084
5	0.03049454899
6	0.02810685242
7	0.02519727554
8	0.02367788725
9	0.02330696084
10	0.02256461685
11	0.0221533096
12	0.02146629531
13	0.02118855227
14	0.0204610578
15	0.0201510603
16	0.01982827909
17	0.0196301201
18	0.0195333134
19	0.01934960975
20	0.01920612723
21	0.01914770385
22	0.01907809313
23	0.01904759317
24	0.01889359036
25	0.01872297453
26	0.01851185299
27	0.01832731044
28	0.01820658028
29	0.01811231762
30	0.01799257047
31	0.01797110975
32	0.0179450114
33	0.01788391211
34	0.01784856724
35	0.01780517979
36	0.01768786646
37	0.01763485604
38	0.01747018485
39	0.01745963354
40	0.017330135
41	0.01723039472
42	0.0171886089
43	0.01708307694
44	0.017058072
45	0.01692875607
46	0.01677181798
47	0.0167644016
48	0.01675711514
49	0.01668659253
50	0.01665374178
51	0.01663093321
52	0.01658744284
53	0.01654820276
54	0.0165296726
55	0.01650354002
56	0.01636022096
57	0.01633800768
58	0.01632728648
59	0.01619790807
60	0.01611990244
61	0.01607857873
62	0.01597756607
63	0.01596550183
64	0.01588196193
65	0.01584243506
66	0.0158355914
67	0.01581808995
68	0.01568792453
69	0.01568236121
70	0.01567110772
71	0.01559530614
72	0.01553398997
73	0.01552906828
74	0.01548876473
75	0.01541860359
76	0.01536467056
77	0.01531872889
78	0.01530185877
79	0.01526234202
80	0.0151915825
81	0.01518877915
82	0.01518626803
83	0.01508259609
84	0.01506694652
85	0.01501391552
86	0.01497042093
87	0.01494934684
88	0.01494381289
89	0.01491842881
90	0.01484547955
91	0.01481705719
92	0.01476157403
93	0.0146693153
94	0.01461968022
95	0.01459730749
96	0.01452146238
97	0.01446350187
98	0.01444451568
99	0.01442388517
100	0.01437930281
101	0.01432974879
102	0.01425941195
103	0.01420311797
104	0.01418501023
105	0.01413985471
106	0.01410459992
107	0.01407258365
108	0.01403531105
109	0.01396350206
110	0.01392481195
111	0.01389334849
112	0.01387376199
113	0.01387108634
114	0.01381256899
115	0.01373636427
116	0.01367493819
117	0.01360801855
118	0.01358803486
119	0.01354572156
120	0.01354446787
121	0.0135423196
122	0.01351081593
123	0.01346668922
124	0.01346284486
125	0.01340387635
126	0.01335970246
127	0.01332272906
128	0.01327613536
129	0.01325972842
130	0.0132568385
131	0.01319939044
132	0.01316506166
133	0.01316346415
134	0.0131605077
135	0.01313325549
136	0.01310679239
137	0.01310432262
138	0.01310311645
139	0.01310223219
140	0.01310017301
141	0.01309839295
142	0.01306991222
143	0.01305124899
144	0.0130378911
145	0.0129997224
146	0.01298801543
147	0.01296759666
148	0.01294436784
149	0.01292819225
150	0.01289341112
151	0.01284463214
152	0.01282746804
153	0.01281209561
154	0.01277667561
155	0.01276683622
156	0.01271188289
157	0.01270281667
158	0.01263422415
159	0.01260683109
160	0.01259199042
161	0.01257085437
162	0.01253330252
163	0.01249806618
164	0.01247260907
165	0.01243711507
166	0.01239094927
167	0.01239033414
168	0.01236698665
169	0.01233701148
170	0.01232101923
171	0.01229888261
172	0.01228133575
173	0.01228073787
174	0.01228020329
175	0.01227824101
176	0.01226055361
177	0.0122492599
178	0.01222548254
179	0.01221149349
180	0.01220164229
181	0.01217219431
182	0.01214311228
183	0.01212495727
184	0.01210379493
185	0.01207632159
186	0.01202783873
187	0.01201819321
188	0.01201682619
189	0.01200822656
190	0.01196976873
191	0.0119609024
192	0.0119515193
193	0.01193914591
194	0.01192995993
195	0.01191381822
196	0.01190243081
197	0.01190118438
198	0.01189130028
199	0.01188981564
